class_code,class_label,total_cells,building_cells,complete_building_cells,incomplete_building_cells,building_cell_ratio,complete_among_building_cells_ratio,incomplete_among_building_cells_ratio
1,LCZ1,322,320,230,90,0.9937888198757764,0.71875,0.28125
2,LCZ2,2052,2052,1503,549,1.0,0.7324561403508771,0.2675438596491228
3,LCZ3,6219,6219,2977,3242,1.0,0.4786943238462775,0.5213056761537225
4,LCZ4,5155,5067,3148,1919,0.982929194956353,0.6212749161239393,0.3787250838760608
5,LCZ5,815,690,466,224,0.8466257668711656,0.6753623188405797,0.32463768115942027
6,LCZ6,925,910,535,375,0.9837837837837838,0.5879120879120879,0.41208791208791207
8,LCZ8,899,376,101,275,0.41824249165739713,0.26861702127659576,0.7313829787234043
101,LCZA,13410,72,9,63,0.005369127516778523,0.125,0.875
102,LCZB,4565,465,94,371,0.10186199342825848,0.2021505376344086,0.7978494623655914
104,LCZD,4637,15,1,14,0.003234850118611171,0.06666666666666667,0.9333333333333333
107,LCZG,2547,3,1,2,0.001177856301531213,0.3333333333333333,0.6666666666666666
