class_code,class_name,support_reference,predicted_count,PA_recall,UA_precision,F1
1,LCZ1 Compact high-rise,74,69,0.7432432432432432,0.7971014492753623,0.7692307692307693
2,LCZ2 Compact mid-rise,314,361,0.6401273885350318,0.556786703601108,0.5955555555555555
3,LCZ3 Compact low-rise,1281,1351,0.9289617486338798,0.8808290155440415,0.9042553191489362
4,LCZ4 Open high-rise,1090,1114,0.9174311926605505,0.8976660682226212,0.9074410163339383
5,LCZ5 Open mid-rise,112,99,0.32142857142857145,0.36363636363636365,0.34123222748815163
6,LCZ6 Open low-rise,207,138,0.48792270531400966,0.7318840579710145,0.5855072463768115
8,LCZ8 Large low-rise,207,186,0.7342995169082126,0.8172043010752689,0.7735368956743004
101,LCZA Dense trees,2800,2722,0.9696428571428571,0.9974283614988979,0.983339369793553
102,LCZB Scattered trees,611,686,0.9525368248772504,0.8483965014577259,0.89745566692367
104,LCZD Low plants,246,216,0.8170731707317073,0.9305555555555556,0.8701298701298701
107,LCZG Water,645,645,1.0,1.0,1.0
