class_code,class_name,support_reference,predicted_count,PA_recall,UA_precision,F1
1,LCZ1 Compact high-rise,74,77,0.8108108108108109,0.7792207792207793,0.794701986754967
2,LCZ2 Compact mid-rise,314,327,0.9171974522292994,0.8807339449541285,0.8985959438377537
3,LCZ3 Compact low-rise,1281,1479,0.9718969555035128,0.8417849898580122,0.9021739130434784
4,LCZ4 Open high-rise,1090,1137,0.9422018348623853,0.9032541776605101,0.9223170184104175
5,LCZ5 Open mid-rise,112,107,0.3482142857142857,0.3644859813084112,0.3561643835616438
6,LCZ6 Open low-rise,207,128,0.5603864734299517,0.90625,0.6925373134328359
8,LCZ8 Large low-rise,207,68,0.20772946859903382,0.6323529411764706,0.3127272727272727
101,LCZA Dense trees,2800,2672,0.9535714285714286,0.999251497005988,0.9758771929824561
102,LCZB Scattered trees,611,735,0.9590834697217676,0.7972789115646258,0.8707280832095098
104,LCZD Low plants,246,204,0.8089430894308943,0.9754901960784313,0.8844444444444445
107,LCZG Water,645,653,1.0,0.9877488514548239,0.9938366718027736
