class_code,class_name,support_reference,predicted_count,PA_recall,UA_precision,F1
1,LCZ1 Compact high-rise,74,108,0.7432432432432432,0.5092592592592593,0.6043956043956045
2,LCZ2 Compact mid-rise,314,380,0.964968152866242,0.7973684210526316,0.8731988472622478
3,LCZ3 Compact low-rise,1281,1351,0.9352068696330992,0.8867505551443375,0.9103343465045594
4,LCZ4 Open high-rise,1090,1181,0.9642201834862385,0.8899237933954276,0.9255834434169969
5,LCZ5 Open mid-rise,112,67,0.24107142857142858,0.40298507462686567,0.3016759776536313
6,LCZ6 Open low-rise,207,137,0.5314009661835749,0.8029197080291971,0.6395348837209303
8,LCZ8 Large low-rise,207,38,0.12560386473429952,0.6842105263157895,0.2122448979591837
101,LCZA Dense trees,2800,2730,0.9732142857142857,0.9981684981684982,0.9855334538878844
102,LCZB Scattered trees,611,696,0.9574468085106383,0.8405172413793104,0.8951798010711554
104,LCZD Low plants,246,253,0.9065040650406504,0.8814229249011858,0.8937875751503006
107,LCZG Water,645,646,1.0,0.9984520123839009,0.9992254066615027
