class_code,class_name,support_reference,predicted_count,PA_recall,UA_precision,F1
1,LCZ1 Compact high-rise,74,41,0.32432432432432434,0.5853658536585366,0.41739130434782606
2,LCZ2 Compact mid-rise,314,333,0.9203821656050956,0.8678678678678678,0.893353941267388
3,LCZ3 Compact low-rise,1281,1340,0.9929742388758782,0.9492537313432836,0.9706219000381534
4,LCZ4 Open high-rise,1090,1147,0.9587155963302753,0.9110723626852659,0.9342869915064819
5,LCZ5 Open mid-rise,112,78,0.49107142857142855,0.7051282051282052,0.5789473684210527
6,LCZ6 Open low-rise,207,133,0.642512077294686,1.0,0.7823529411764706
8,LCZ8 Large low-rise,207,184,0.8647342995169082,0.9728260869565217,0.9156010230179027
101,LCZA Dense trees,2800,2742,0.9792857142857143,1.0,0.9895344640923854
102,LCZB Scattered trees,611,691,0.9869067103109657,0.8726483357452967,0.9262672811059908
104,LCZD Low plants,246,251,0.983739837398374,0.9641434262948207,0.9738430583501007
107,LCZG Water,645,647,1.0,0.9969088098918083,0.9984520123839009
